event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179631833,2020-12-19 15:30:00-05:00,0.56,-127,Ole Miss,2.5,78.0,LSU,105,0.49,0.0,0.0,NOT_STARTED,2.5,,78.0,,-127,,+105,,2020-12-16 18:17:56.664901-05:00,,2 days 21:12:03.335099,2020-12-16 18:17:56.664901-05:00
179631834,2020-12-19 15:30:00-05:00,0.56,-127,Missouri,2.0,50.5,Mississippi State,105,0.49,0.0,0.0,NOT_STARTED,2.0,,50.5,,-127,,+105,,2020-12-16 18:17:56.664901-05:00,,2 days 21:12:03.335099,2020-12-16 18:17:56.664901-05:00
179625583,2020-12-19 16:00:00-05:00,0.27,275,Notre Dame,-10.5,60.5,Clemson,-360,0.78,0.0,0.0,NOT_STARTED,-10.5,,60.5,,+275,,-360,,2020-12-16 18:17:56.664901-05:00,,2 days 21:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631835,2020-12-19 16:00:00-05:00,0.22,350,Minnesota,-12.0,47.5,Wisconsin,-480,0.83,0.0,0.0,NOT_STARTED,-12.0,,47.5,,+350,,-480,,2020-12-16 18:17:56.664901-05:00,,2 days 21:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631838,2020-12-19 16:15:00-05:00,0.7,-230,Boise State,6.5,54.5,San José State,180,0.36,0.0,0.0,NOT_STARTED,6.5,,54.5,,-230,,+180,,2020-12-16 18:17:56.664901-05:00,,2 days 21:57:03.335099,2020-12-16 18:17:56.664901-05:00
179631841,2020-12-19 17:30:00-05:00,0.17,500,Illinois,-15.5,52.0,Penn State,-715,0.88,0.0,0.0,NOT_STARTED,-15.5,,52.0,,+500,,-715,,2020-12-16 18:17:56.664901-05:00,,2 days 23:12:03.335099,2020-12-16 18:17:56.664901-05:00
179631847,2020-12-19 19:00:00-05:00,0.32,210,Stanford,-7.5,59.0,UCLA,-278,0.74,0.0,0.0,NOT_STARTED,-7.5,,59.0,,+210,,-278,,2020-12-16 18:17:56.664901-05:00,,3 days 00:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631850,2020-12-19 19:30:00-05:00,0.48,108,Michigan State,-2.5,50.5,Maryland,-132,0.57,0.0,0.0,NOT_STARTED,-2.5,,50.5,,+108,,-132,,2020-12-16 18:17:56.664901-05:00,,3 days 01:12:03.335099,2020-12-16 18:17:56.664901-05:00
179625581,2020-12-19 20:00:00-05:00,0.17,480,Florida,-17.0,74.0,Alabama,-770,0.89,0.0,0.0,NOT_STARTED,-17.0,,74.0,,+480,,-770,,2020-12-16 18:17:56.664901-05:00,,3 days 01:42:03.335099,2020-12-16 18:17:56.664901-05:00
179625582,2020-12-19 20:00:00-05:00,0.18,460,Tulsa,-14.0,45.5,Cincinnati,-670,0.87,0.0,0.0,NOT_STARTED,-14.0,,45.5,,+460,,-670,,2020-12-16 18:17:56.664901-05:00,,3 days 01:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631849,2020-12-19 22:30:00-05:00,0.71,-250,Arizona State,7.5,54.0,Oregon State,200,0.33,0.0,0.0,NOT_STARTED,7.5,,54.0,,-250,,+200,,2020-12-16 18:17:56.664901-05:00,,3 days 04:12:03.335099,2020-12-16 18:17:56.664901-05:00
