ML_away,ML_home,away_score,capture_time,current_line,current_total,event_id,event_status,home_score,minute,period,second
102.0,-115.0,,2020-12-17 21:42:01.268877-05:00,-1.0,41.5,176185664,NOT_STARTED,,,,
147.0,-167.0,,2020-12-17 21:42:01.268877-05:00,-3.0,46.5,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-17 21:42:01.268877-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-17 21:42:01.268877-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
226.0,-265.0,,2020-12-17 21:42:01.268877-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-175.0,149.0,,2020-12-17 21:42:01.268877-05:00,3.0,51.5,176073583,NOT_STARTED,,,,
-250.0,216.0,,2020-12-17 21:42:01.268877-05:00,6.0,44.0,175163815,NOT_STARTED,,,,
-770.0,585.0,,2020-12-17 21:42:01.268877-05:00,12.5,40.5,176185431,NOT_STARTED,,,,
-275.0,225.0,,2020-12-18 10:14:37.374728-05:00,6.0,49.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-18 10:14:37.374728-05:00,-8.5,51.5,179631780,NOT_STARTED,,,,
575.0,-770.0,,2020-12-18 10:14:37.374728-05:00,-12.5,47.5,179632598,NOT_STARTED,,,,
-265.0,225.0,,2020-12-18 10:14:37.374728-05:00,6.0,44.5,179631829,NOT_STARTED,,,,
295.0,-360.0,,2020-12-18 10:14:37.374728-05:00,-7.5,51.0,175321939,NOT_STARTED,,,,
-250.0,215.0,,2020-12-18 10:14:37.374728-05:00,6.0,49.5,179631782,NOT_STARTED,,,,
440.0,-560.0,,2020-12-18 10:14:37.374728-05:00,-11.0,51.5,179633751,NOT_STARTED,,,,
102.0,-115.0,,2020-12-18 10:14:37.374728-05:00,-1.0,41.5,176185664,NOT_STARTED,,,,
147.0,-167.0,,2020-12-18 10:14:37.374728-05:00,-3.0,46.5,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-18 10:14:37.374728-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-18 10:14:37.374728-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
226.0,-265.0,,2020-12-18 10:14:37.374728-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-150.0,130.0,,2020-12-18 10:14:37.374728-05:00,3.0,52.5,176073583,NOT_STARTED,,,,
-278.0,240.0,,2020-12-18 10:14:37.374728-05:00,6.5,44.0,175163815,NOT_STARTED,,,,
-770.0,585.0,,2020-12-18 10:14:37.374728-05:00,12.5,40.5,176185431,NOT_STARTED,,,,
-275.0,225.0,,2020-12-18 10:33:48.561180-05:00,6.0,49.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-18 10:33:48.561180-05:00,-8.5,51.5,179631780,NOT_STARTED,,,,
575.0,-770.0,,2020-12-18 10:33:48.561180-05:00,-12.5,47.5,179632598,NOT_STARTED,,,,
-265.0,225.0,,2020-12-18 10:33:48.561180-05:00,6.0,44.5,179631829,NOT_STARTED,,,,
295.0,-360.0,,2020-12-18 10:33:48.561180-05:00,-7.5,51.0,175321939,NOT_STARTED,,,,
-250.0,215.0,,2020-12-18 10:33:48.561180-05:00,6.0,49.5,179631782,NOT_STARTED,,,,
440.0,-560.0,,2020-12-18 10:33:48.561180-05:00,-11.0,51.5,179633751,NOT_STARTED,,,,
102.0,-115.0,,2020-12-18 10:33:48.561180-05:00,-1.0,41.5,176185664,NOT_STARTED,,,,
147.0,-167.0,,2020-12-18 10:33:48.561180-05:00,-3.0,46.5,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-18 10:33:48.561180-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-18 10:33:48.561180-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
226.0,-265.0,,2020-12-18 10:33:48.561180-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-150.0,130.0,,2020-12-18 10:33:48.561180-05:00,3.0,52.5,176073583,NOT_STARTED,,,,
-278.0,240.0,,2020-12-18 10:33:48.561180-05:00,6.5,44.0,175163815,NOT_STARTED,,,,
-770.0,585.0,,2020-12-18 10:33:48.561180-05:00,12.5,40.5,176185431,NOT_STARTED,,,,
-235.0,202.0,,2020-12-18 17:17:50.444108-05:00,5.0,49.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-18 17:17:50.444108-05:00,-8.0,51.5,179631780,NOT_STARTED,,,,
575.0,-770.0,,2020-12-18 17:17:50.444108-05:00,-13.0,47.5,179632598,NOT_STARTED,,,,
-286.0,245.0,,2020-12-18 17:17:50.444108-05:00,6.5,43.5,179631829,NOT_STARTED,,,,
295.0,-360.0,,2020-12-18 17:17:50.444108-05:00,-7.5,51.5,175321939,NOT_STARTED,,,,
-245.0,200.0,,2020-12-18 17:17:50.444108-05:00,6.0,48.5,179631782,NOT_STARTED,,,,
100.0,-114.0,,2020-12-18 17:17:50.444108-05:00,-1.0,41.5,176185664,NOT_STARTED,,,,
440.0,-560.0,,2020-12-18 17:17:50.444108-05:00,-11.0,51.5,179633751,NOT_STARTED,,,,
147.0,-167.0,,2020-12-18 17:17:50.444108-05:00,-3.5,46.5,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-18 17:17:50.444108-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
