event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
175163786,2020-04-11 03:05:00.000000,,,NY Jets,,,LA Rams,,,,,,-16.5,-17.0,44.5,44.5,900.0,1000.0,-2000.0,-1667.0,2020-04-06 22:15:47.978838,2020-12-20 16:00:16.726510-05:00,,
175163782,2020-04-11 03:05:00.000000,,,PHI Eagles,,,ARI Cardinals,,,,,,-6.5,-6.0,48.5,49.5,220.0,215.0,-278.0,-250.0,2020-04-06 22:15:47.978838,2020-12-20 16:00:16.726510-05:00,,
176073583,2020-04-11 03:25:00.000000,,,KC Chiefs,,,NO Saints,,,,,,2.5,2.5,50.5,53.5,-200.0,-148.0,163.0,130.0,2020-04-06 22:15:47.978838,2020-12-20 16:20:05.008174-05:00,,
175163815,2020-04-11 07:20:00.000000,,,CLE Browns,,,NY Giants,,,,,,4.5,6.0,45.5,44.5,-225.0,-265.0,180.0,230.0,2020-04-06 22:15:47.978838,2020-12-20 20:15:06.369744-05:00,,
176185431,2020-04-12 07:15:00.000000,,,PIT Steelers,,,CIN Bengals,,,,,,12.5,,40.5,,-770.0,,500.0,,2020-04-06 22:15:47.978838,,,
176073581,2020-04-16 03:30:00.000000,,,MIN Vikings,,,NO Saints,,,,,,-7.5,,52.0,,260.0,,-335.0,,2020-04-11 07:40:07.883291,,,
179639535,2020-04-17 00:00:00.000000,,,TB Buccaneers,,,DET Lions,,,,,,7.5,12.0,53.5,54.5,-360.0,-625.0,275.0,475.0,2020-04-11 07:45:09.026244,1608966883342650000,,
179639537,2020-04-17 03:30:00.000000,,,SF 49ers,,,ARI Cardinals,,,,,,-3.5,,50.5,,163.0,,-200.0,,2020-04-11 07:50:11.856980,,,
179639542,2020-04-17 07:15:00.000000,,,MIA Dolphins,,,LV Raiders,,,,,,2.5,,48.0,,-148.0,,120.0,,2020-04-11 08:05:13.056506,,,
179639561,2020-04-18 00:00:00.000000,0.19,420.0,ATL Falcons,-11.0,52.5,KC Chiefs,-590.0,0.86,-0.5,-0.5,NOT_STARTED,-10.5,,53.0,,375.0,,-500.0,,2020-04-11 08:15:12.018363,,-254 days +19:56:31.522811000,2020-12-27 04:03:28.477189
179639560,2020-04-18 00:00:00.000000,0.81,-420.0,CHI Bears,8.0,46.5,JAX Jaguars,340.0,0.23,0.5,0.0,NOT_STARTED,7.5,,46.5,,-315.0,,250.0,,2020-04-11 08:15:12.018363,,-254 days +19:56:31.522811000,2020-12-27 04:03:28.477189
176121456,2020-04-18 03:05:00.000000,0.42,138.0,DEN Broncos,-3.0,48.0,LA Chargers,-159.0,0.61,0.5,-2.0,NOT_STARTED,-3.5,,50.0,,148.0,,-182.0,,2020-04-11 08:23:38.033025,,-254 days +23:01:31.522811000,2020-12-27 04:03:28.477189
179639565,2020-04-18 03:25:00.000000,0.5,100.0,LA Rams,-1.0,47.0,SEA Seahawks,-115.0,0.53,1.5,0.5,NOT_STARTED,-2.5,,46.5,,114.0,,-139.0,,2020-04-11 08:40:10.821414,,-254 days +23:21:31.522811000,2020-12-27 04:03:28.477189
175163781,2020-04-18 03:25:00.000000,0.61,-155.0,PHI Eagles,3.0,49.5,DAL Cowboys,133.0,0.43,1.5,0.0,NOT_STARTED,1.5,,49.5,,-120.0,,-103.0,,2020-04-11 08:40:10.821414,,-254 days +23:21:31.522811000,2020-12-27 04:03:28.477189
179639567,2020-04-18 07:20:00.000000,0.41,145.0,TEN Titans,-3.0,54.0,GB Packers,-175.0,0.64,1.0,-1.5,NOT_STARTED,-4.0,,55.5,,163.0,,-200.0,,2020-04-11 08:50:11.105049,,-253 days +03:16:31.522811000,2020-12-27 04:03:28.477189
179639569,2020-04-18 00:00:00.000000,0.49,104.0,CAR Panthers,-1.0,42.0,WAS Football Team,-118.0,0.54,1.0,-2.5,NOT_STARTED,-2.0,,44.5,,105.0,,-127.0,,2020-04-11 08:55:15.994317,,-254 days +19:56:31.522811000,2020-12-27 04:03:28.477189
176073549,2020-04-19 07:15:00.000000,0.75,-305.0,BUF Bills,7.0,46.0,NE Patriots,255.0,0.28,0.5,0.5,NOT_STARTED,6.5,7.0,45.5,46.0,-286.0,-305.0,225.0,255.0,2020-04-11 08:55:15.994317,1608968249473946000,-252 days +03:11:31.522811000,2020-12-27 04:03:28.477189
176125018,2020-04-18 00:00:00.000000,0.49,105.0,IND Colts,-1.5,42.5,PIT Steelers,-121.0,0.55,1.0,-3.0,NOT_STARTED,-2.5,,45.5,,123.0,,-150.0,,2020-04-11 09:00:15.080354,,-254 days +19:56:31.522811000,2020-12-27 04:03:28.477189
175163789,2020-04-18 00:00:00.000000,0.2,390.0,NY Giants,-10.0,44.0,BAL Ravens,-480.0,0.83,-0.5,-1.0,NOT_STARTED,-9.5,,45.0,,350.0,,-480.0,,2020-04-11 20:20:19.702892,,-254 days +19:56:31.522811000,2020-12-27 04:03:28.477189
175163824,2020-04-18 00:00:00.000000,0.74,-286.0,CLE Browns,6.5,43.5,NY Jets,240.0,0.29,-4.0,-1.0,NOT_STARTED,10.5,,44.5,,-530.0,,390.0,,2020-04-11 20:20:19.702892,,-254 days +19:56:31.522811000,2020-12-27 04:03:28.477189
179640152,2020-04-18 00:00:00.000000,0.28,260.0,CIN Bengals,-7.0,44.5,HOU Texans,-315.0,0.76,2.0,-0.5,NOT_STARTED,-9.0,,45.0,,325.0,,-435.0,,2020-04-11 22:15:18.820931,,-254 days +19:56:31.522811000,2020-12-27 04:03:28.477189
