event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179637427,2020-12-23 15:00:00-05:00,0.36,180.0,Louisiana Tech,-6.5,51.5,Georgia Southern,-240.0,0.71,-2.0,0.0,NOT_STARTED,-4.5,,51.5,,155.0,,-190.0,,2020-12-18 22:19:25.047182-05:00,,2 days 17:44:28.772544,2020-12-20 21:15:31.227456-05:00
179637428,2020-12-23 19:00:00-05:00,0.78,-360.0,Memphis,9.5,52.5,Florida Atlantic,280.0,0.26,-1.0,0.0,NOT_STARTED,10.5,,52.5,,-400.0,,310.0,,2020-12-18 22:19:25.047182-05:00,,2 days 21:44:28.772544,2020-12-20 21:15:31.227456-05:00
179637433,2020-12-24 15:30:00-05:00,0.26,290.0,Hawaii,-11.5,61.5,Houston,-375.0,0.79,-1.0,-1.0,NOT_STARTED,-10.5,,62.5,,265.0,,-345.0,,2020-12-18 22:19:25.047182-05:00,,3 days 18:14:28.772544,2020-12-20 21:15:31.227456-05:00
179637438,2020-12-26 15:30:00-05:00,0.41,143.0,Western Kentucky,-4.5,53.5,Georgia State,-175.0,0.64,0.0,-3.0,NOT_STARTED,-4.5,,56.5,,143.0,,-177.0,,2020-12-18 22:19:25.047182-05:00,,5 days 18:14:28.772544,2020-12-20 21:15:31.227456-05:00
179639263,2021-01-01 17:00:00-05:00,0.14,600.0,Notre Dame,-19.5,65.5,Alabama,-1250.0,0.93,0.0,0.0,NOT_STARTED,-19.5,,65.5,,600.0,,-1250.0,,2020-12-20 13:55:14.980516-05:00,,11 days 19:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639264,2021-01-01 20:45:00-05:00,0.32,210.0,Ohio State,-7.5,65.5,Clemson,-286.0,0.74,0.0,0.0,NOT_STARTED,-7.5,,65.5,,195.0,,-275.0,,2020-12-20 13:55:14.980516-05:00,,11 days 23:29:28.772544,2020-12-20 21:15:31.227456-05:00
179639401,2020-12-25 14:30:00-05:00,0.44,128.0,Marshall,-3.5,54.5,Buffalo,-159.0,0.61,0.0,0.0,NOT_STARTED,-3.5,,54.5,,128.0,,-159.0,,2020-12-20 18:20:48.895253-05:00,,4 days 17:14:28.772544,2020-12-20 21:15:31.227456-05:00
179639403,2020-12-26 12:00:00-05:00,0.35,185.0,Liberty,-6.5,59.5,Coastal Carolina,-235.0,0.7,0.0,0.0,NOT_STARTED,-6.5,,59.5,,185.0,,-235.0,,2020-12-20 18:20:48.895253-05:00,,5 days 14:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639404,2020-12-26 15:30:00-05:00,0.83,-500.0,Louisiana-Lafayette,13.5,59.5,UTSA,375.0,0.21,0.0,0.0,NOT_STARTED,13.5,,59.5,,-500.0,,375.0,,2020-12-20 18:25:13.171536-05:00,,5 days 18:14:28.772544,2020-12-20 21:15:31.227456-05:00
179639405,2020-12-29 17:30:00-05:00,0.55,-124.0,Oklahoma State,1.5,59.5,Miami Florida,102.0,0.5,0.0,0.0,NOT_STARTED,1.5,,59.5,,-124.0,,102.0,,2020-12-20 18:30:17.574869-05:00,,8 days 20:14:28.772544,2020-12-20 21:15:31.227456-05:00
